tail_probability,tail_visibility,probability_error,impact_error,value_shift,negative_impact_confidence,method,cases,mean_true_value,mean_regret,p90_regret,harmful_choice_rate,catastrophe_exposure,affected_harm_rate,baseline_selection_rate,certification_rate,certified_nonoracle_rate,certified_harmful_rate
0.0,included,0.15,15.0,0.0,1.0,oracle_expected,1000,18.303995511043034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,1.0,baseline,1000,0.0,18.303995511043034,26.949777683839045,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,1.0,declared_raw,1000,17.320223361945793,0.9837721490972421,3.4714830087306083,0.001,0.0,0.0,0.019,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,1.0,confidence_shrink,1000,17.320223361945793,0.9837721490972421,3.4714830087306083,0.001,0.0,0.0,0.019,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,1.0,minimax_regret,1000,17.345637541745432,0.9583579692976014,3.385908570573618,0.001,0.0,0.0,0.018,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,1.0,robustness_gate,1000,14.274528080443616,4.029467430599417,15.810140307175503,0.001,0.0,0.0,0.237,0.763,0.082,0.001
0.0,included,0.15,15.0,0.0,0.4,oracle_expected,1000,18.772247760914023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,0.4,baseline,1000,0.0,18.772247760914023,27.82143151639899,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,0.4,declared_raw,1000,17.632638351436977,1.1396094094770468,4.940022816432698,0.0,0.0,0.0,0.017,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,0.4,confidence_shrink,1000,18.180292385870768,0.5919553750432561,1.8003929761531767,0.0,0.0,0.0,0.002,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,0.4,minimax_regret,1000,17.630267933456647,1.1419798274573782,4.940743491068758,0.0,0.0,0.0,0.016,0.0,0.0,0.0
0.0,included,0.15,15.0,0.0,0.4,robustness_gate,1000,16.3106720655791,2.461575695334923,12.03053210776844,0.0,0.0,0.0,0.152,0.848,0.066,0.0
0.0,included,0.15,15.0,0.5,1.0,oracle_expected,1000,18.5883562390151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,1.0,baseline,1000,0.0,18.5883562390151,27.16670680166412,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,1.0,declared_raw,1000,16.772589239938917,1.8157669990761807,7.70035782400904,0.0,0.0,0.0,0.052,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,1.0,confidence_shrink,1000,16.772589239938917,1.8157669990761807,7.70035782400904,0.0,0.0,0.0,0.052,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,1.0,minimax_regret,1000,16.771322178088003,1.8170340609270972,7.690605936557711,0.0,0.0,0.0,0.051,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,1.0,robustness_gate,1000,13.4884401804556,5.099916058559497,18.184371910250732,0.0,0.0,0.0,0.275,0.725,0.117,0.0
0.0,included,0.15,15.0,0.5,0.4,oracle_expected,1000,18.831781143371792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,0.4,baseline,1000,0.0,18.831781143371792,27.88980455804167,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,0.4,declared_raw,1000,17.039675722283647,1.792105421088145,8.195429674869985,0.0,0.0,0.0,0.041,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,0.4,confidence_shrink,1000,17.846733654401604,0.9850474889701858,2.7413288794483655,0.0,0.0,0.0,0.019,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,0.4,minimax_regret,1000,17.02421522693411,1.8075659164376807,8.195429674869985,0.0,0.0,0.0,0.04,0.0,0.0,0.0
0.0,included,0.15,15.0,0.5,0.4,robustness_gate,1000,15.920344531446895,2.911436611924896,13.750768443535828,0.0,0.0,0.0,0.17,0.83,0.073,0.0
0.0,omitted,0.0,0.0,0.0,1.0,oracle_expected,1000,18.830993508921505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,1.0,baseline,1000,0.0,18.830993508921505,27.213446790233355,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,1.0,declared_raw,1000,18.830993508921505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,1.0,confidence_shrink,1000,18.830993508921505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,1.0,minimax_regret,1000,18.830765876972837,0.00022763194866949556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,1.0,robustness_gate,1000,17.08900678365368,1.7419867252678267,9.681933768508745,0.0,0.0,0.0,0.165,0.835,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,oracle_expected,1000,18.583559600735665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,baseline,1000,0.0,18.583559600735665,27.3572224135973,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,declared_raw,1000,18.583559600735665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,confidence_shrink,1000,18.46825360200643,0.11530599872923461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,minimax_regret,1000,18.583559600735665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.0,0.4,robustness_gate,1000,18.110235680439988,0.47332392029567544,0.0,0.0,0.0,0.0,0.046,0.954,0.029,0.0
0.0,omitted,0.0,0.0,0.5,1.0,oracle_expected,1000,18.592810159554936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,1.0,baseline,1000,0.0,18.592810159554936,27.362493765431836,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,1.0,declared_raw,1000,18.129488005658484,0.4633221538964526,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,1.0,confidence_shrink,1000,18.129488005658484,0.4633221538964526,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,1.0,minimax_regret,1000,18.147126911186824,0.4456832483681125,0.028889972383166224,0.0,0.0,0.0,0.009,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,1.0,robustness_gate,1000,15.586119045418389,3.0066911141365487,12.750593810320856,0.0,0.0,0.0,0.235,0.765,0.013,0.0
0.0,omitted,0.0,0.0,0.5,0.4,oracle_expected,1000,18.886360994996473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,0.4,baseline,1000,0.0,18.886360994996473,27.288448288946004,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,0.4,declared_raw,1000,18.603864563094636,0.2824964319018371,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,0.4,confidence_shrink,1000,18.75965449879546,0.12670649620101215,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,0.4,minimax_regret,1000,18.619654702702373,0.26670629229409965,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
0.0,omitted,0.0,0.0,0.5,0.4,robustness_gate,1000,18.09510350498433,0.7912574900121436,0.0,0.0,0.0,0.0,0.074,0.926,0.021,0.0
0.0,omitted,0.0,15.0,0.0,1.0,oracle_expected,1000,18.56178036610138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,1.0,baseline,1000,0.0,18.56178036610138,27.51572918753407,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,1.0,declared_raw,1000,17.306102378435003,1.25567798766638,5.256420156514935,0.0,0.0,0.0,0.023,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,1.0,confidence_shrink,1000,17.306102378435003,1.25567798766638,5.256420156514935,0.0,0.0,0.0,0.023,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,1.0,minimax_regret,1000,17.319037551286907,1.242742814814476,5.041117649290555,0.0,0.0,0.0,0.021,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,1.0,robustness_gate,1000,14.414961560411024,4.146818805690359,15.679837529569355,0.0,0.0,0.0,0.242,0.758,0.097,0.0
