regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
matched,11,fixed,general,-11.025069379248745,26.72804582405912,-70.77607696629039,0.2,-12.665192720283546,7.217528505194006,1.3622781198640168,1,0,1.935931074104082,2,0
matched,11,random,mechanism_repair,11.309735111953676,4.393241332856698,-0.8940136037847202,0.01,0.7356986947811766,9.304707157372581,0.026305762671694995,0,0,4.393241332856698,2,0
matched,11,entropy,general,-11.025069379248745,26.72804582405912,-70.77607696629039,0.2,-12.665192720283546,7.217528505194006,1.3622781198640168,1,0,1.935931074104082,2,0
matched,11,myopic,general,-9.426121666910012,25.12909811172039,-70.77607696629039,0.2,-12.665192720283546,7.134647696538764,1.2980154273081985,0,0,0.33698336176535026,1,2
matched,11,sequential,general,-9.426121666910012,25.12909811172039,-70.77607696629039,0.2,-12.665192720283546,7.134647696538764,1.2980154273081985,0,0,0.33698336176535026,1,8
matched,12,stop,source_repair,0.867953973702377,14.18219939554467,-14.66252343924404,0.01,-4.381903556555692,5.191413114254245,0.45263722185527233,0,0,0.0,0,0
matched,12,fixed,general,10.492575406169358,4.557577963077689,-3.202160291329159,0.01,3.960566676117644,9.338211937436228,0.00265053993443074,0,0,4.557577963077688,2,0
matched,12,random,general,9.66550261151302,5.384650757734027,-3.202160291329159,0.01,3.960566676117644,7.803489876434049,0.006684114694757311,0,0,5.384650757734026,2,0
matched,12,entropy,general,10.492575406169358,4.557577963077689,-3.202160291329159,0.01,3.960566676117644,9.338211937436228,0.00265053993443074,0,0,4.557577963077688,2,0
matched,12,myopic,general,12.472932413476537,2.5772209557705104,-3.202160291329159,0.01,3.960566676117644,10.091521126793982,0.010058519706540205,0,0,2.57722095577051,1,2
matched,12,sequential,general,12.472932413476537,2.5772209557705104,-3.202160291329159,0.01,3.960566676117644,10.091521126793982,0.010058519706540205,0,0,2.57722095577051,1,8
matched,13,stop,source_repair,17.67512583896659,0.0,-2.0618925723513937,0.01,1.994656944992109,7.460455706503612,0.48003545895500715,0,0,0.0,0,0
matched,13,fixed,source_repair,13.538445399981367,4.136680438985223,-2.0618925723513937,0.01,1.994656944992109,11.195151574487113,0.015898544180626605,0,0,4.136680438985224,2,0
matched,13,random,source_repair,13.872551711247802,3.8025741277187883,-2.0618925723513937,0.01,1.994656944992109,10.315934430185767,0.08643185749279778,0,0,3.802574127718789,2,0
matched,13,entropy,source_repair,13.47459079944446,4.20053503952213,-2.0618925723513937,0.01,1.994656944992109,11.283929855725399,0.02617565352017349,0,0,4.20053503952213,2,0
matched,13,myopic,source_repair,13.47459079944446,4.20053503952213,-2.0618925723513937,0.01,1.994656944992109,11.283929855725399,0.02617565352017349,0,0,4.20053503952213,2,2
matched,13,sequential,source_repair,13.47459079944446,4.20053503952213,-2.0618925723513937,0.01,1.994656944992109,11.283929855725399,0.02617565352017349,0,0,4.20053503952213,2,8
matched,14,stop,mechanism_repair,20.149036073023264,0.0,-1.1471399970408225,0.01,0.9440006225648429,10.459244659994543,0.25581937291153306,0,0,0.0,0,0
matched,14,fixed,mechanism_repair,17.025508625810797,3.1235274472124672,-1.1471399970408225,0.01,0.9440006225648429,5.006227109484028,0.34759978262457686,0,0,3.1235274472124686,2,0
matched,14,random,source_repair,-11.019798606070221,31.168834679093486,-90.8152497657317,0.08,-10.706639972381003,8.624273174365115,1.2988237591105192,0,0,1.88569637963268,2,0
matched,14,entropy,source_repair,-11.764850312151722,31.913886385174987,-90.8152497657317,0.08,-10.706639972381003,7.009362523871813,1.0429378842229422,0,0,2.630748085714181,2,0
matched,14,myopic,source_repair,-11.764850312151722,31.913886385174987,-90.8152497657317,0.08,-10.706639972381003,7.009362523871813,1.0429378842229422,0,0,2.630748085714181,2,2
matched,14,sequential,source_repair,-11.764850312151722,31.913886385174987,-90.8152497657317,0.08,-10.706639972381003,7.009362523871813,1.0429378842229422,0,0,2.630748085714181,2,8
matched,15,stop,source_repair,-9.086882576363754,29.131756203083484,-90.34577129822675,0.08,-10.65129093200147,5.014280449133911,0.9250171422967627,0,0,0.0,0,0
matched,15,fixed,mechanism_repair,16.467629309947355,3.5772443167723758,-1.1412097427144419,0.01,0.9391205174420939,7.901980420937088,0.27839420301161183,0,0,3.5772443167723758,2,0
matched,15,random,mechanism_repair,17.489493539715422,2.555380087004309,-1.1412097427144419,0.01,0.9391205174420939,8.010460175335872,0.4034747892671574,0,0,2.5553800870043095,2,0
matched,15,entropy,mechanism_repair,16.467629309947355,3.5772443167723758,-1.1412097427144419,0.01,0.9391205174420939,7.901980420937084,0.2783942030116119,0,0,3.5772443167723758,2,0
matched,15,myopic,mechanism_repair,16.467629309947355,3.5772443167723758,-1.1412097427144419,0.01,0.9391205174420939,7.901980420937084,0.2783942030116119,0,0,3.5772443167723758,2,2
matched,15,sequential,mechanism_repair,16.467629309947355,3.5772443167723758,-1.1412097427144419,0.01,0.9391205174420939,7.901980420937084,0.2783942030116119,0,0,3.5772443167723758,2,8
matched,16,stop,mechanism_repair,-0.15641528660910564,13.619437064144655,-13.870078427024307,0.01,-4.852642927933097,6.629145703165365,0.5586294405392391,0,0,0.0,0,0
matched,16,fixed,general,10.031879961310242,3.431141816225308,-2.8644727186245844,0.01,3.5429004677725136,5.0278012610979514,0.0869100687176513,0,0,3.431141816225307,2,0
matched,16,random,general,9.166906859751066,4.296114917784484,-2.8644727186245844,0.01,3.5429004677725136,4.041454082186377,0.06615693940572141,0,0,4.296114917784484,2,0
matched,16,entropy,general,9.181226317415005,4.281795460120545,-2.8644727186245844,0.01,3.5429004677725136,6.826892203464862,0.012342505403148374,0,0,4.281795460120545,2,0
matched,16,myopic,general,9.181226317415005,4.281795460120545,-2.8644727186245844,0.01,3.5429004677725136,6.826892203464862,0.012342505403148374,0,0,4.281795460120545,2,2
