groups,max_duplicates,rho,signal_strength,trials,method,brier,brier_mcse,log_loss,log_loss_mcse,accuracy,ece,confidently_wrong,sharpness
3,2,0.95,0.25,2500,conservative,0.2043766765334643,0.0032706497982790267,0.5945081612519323,0.007397654249014186,0.6844,0.018517836634500948,0.0004,0.1676385446149142
3,2,0.95,0.25,2500,naive,0.2122335428220647,0.004395719610947949,0.6193962405191276,0.011336176680904775,0.6776,0.053494235734455,0.022,0.22540626462769392
3,2,0.95,0.25,2500,one_per_group,0.20500624386430671,0.0033011656562956966,0.5960033597716335,0.007491711987615463,0.6824,0.016060540969064993,0.0008,0.16859752792425817
3,2,0.95,0.75,2500,oracle,0.0720686387094271,0.0035850957831359237,0.239779435818185,0.011133866618744858,0.9036,0.011064138763114748,0.0164,0.402437787643954
3,2,0.95,0.75,2500,estimated,0.07191317920308808,0.003589346748855543,0.23931784644689097,0.011216132532856018,0.9044,0.009856970917248097,0.0172,0.4033096619549656
3,2,0.95,0.75,2500,conservative,0.07210847180355393,0.0035720719754043224,0.24003089006046788,0.011044098887395413,0.9036,0.011137224376204728,0.016,0.40120725182135775
3,2,0.95,0.75,2500,naive,0.07968612509840732,0.0042340377590753915,0.27753427877855463,0.01617760010606146,0.8984,0.04419917859798741,0.0344,0.4306183255228669
3,2,0.95,0.75,2500,one_per_group,0.07355469285605246,0.0036313703544910087,0.2441700828460611,0.011223863228764428,0.9004,0.008626401885152686,0.0172,0.40138492332006953
3,4,0.0,0.25,2500,oracle,0.16714970622645253,0.003977167020055791,0.5064174433863787,0.010288133163201643,0.7576,0.021914212437611425,0.0128,0.24693545755737992
3,4,0.0,0.25,2500,estimated,0.16818300826005456,0.003792749562067503,0.5092059629951713,0.009583813929233099,0.754,0.02452646947114407,0.0108,0.2334913205122181
3,4,0.0,0.25,2500,conservative,0.19223292845146833,0.002387246944184787,0.5707778541591292,0.005174914268383023,0.736,0.10599560795628077,0.0,0.13000439204371922
3,4,0.0,0.25,2500,naive,0.16714970622645253,0.003977167020055791,0.5064174433863787,0.010288133163201643,0.7576,0.021914212437611425,0.0128,0.24693545755737992
3,4,0.0,0.25,2500,one_per_group,0.21146270795306968,0.00331787061191795,0.6110008203998418,0.007577715383255956,0.664,0.01603845061416407,0.0016,0.16442234893015442
3,4,0.0,0.75,2500,oracle,0.02172270183152876,0.0021741749586019865,0.07100566231177971,0.0065832761773779135,0.9684,0.009088269447727981,0.0068,0.4744593586862756
3,4,0.0,0.75,2500,estimated,0.021827648348720086,0.002133641218829989,0.07219442492771114,0.006399403047509421,0.9684,0.009712796043307145,0.0068,0.4716333074664405
3,4,0.0,0.75,2500,conservative,0.03313854557810242,0.0021042577290999657,0.12840326029431962,0.005758342018940505,0.9588,0.04286276186817267,0.0036,0.41880353730918507
3,4,0.0,0.75,2500,naive,0.02172270183152876,0.0021741749586019865,0.07100566231177971,0.0065832761773779135,0.9684,0.009088269447727981,0.0068,0.4744593586862756
3,4,0.0,0.75,2500,one_per_group,0.07412271937311693,0.0036415258275093853,0.24159595340901738,0.010790290262315965,0.9004,0.010996044707342856,0.0152,0.40220551800168186
3,4,0.25,0.25,2500,oracle,0.18750244845550837,0.003829293526161558,0.5543150118080823,0.00931377734231737,0.7148,0.014630443306625208,0.0076,0.2157205016434645
3,4,0.25,0.25,2500,estimated,0.1900294044666843,0.003963293212011486,0.5621217785877107,0.009895584558441613,0.71,0.01795510830980323,0.012,0.21995580476671497
3,4,0.25,0.25,2500,conservative,0.1982378065323884,0.002795226410473807,0.5822118153575593,0.006181856654602156,0.7028,0.05699542568588416,0.0,0.14580457431411584
3,4,0.25,0.25,2500,naive,0.19127781056267507,0.004727759790457462,0.5712084194001874,0.013024373221865662,0.7156,0.05425617439498135,0.0292,0.2698561743949814
3,4,0.25,0.25,2500,one_per_group,0.21057201351302218,0.0034116839700886505,0.6079853805362061,0.007780643604745845,0.6656,0.019403429530543345,0.0012,0.1704764603419795
3,4,0.25,0.75,2500,oracle,0.03540043656831294,0.0026914026548676183,0.12333099549074691,0.009136005113608703,0.95,0.005826289868374808,0.0104,0.45331790094810376
3,4,0.25,0.75,2500,estimated,0.03548350061482022,0.002712467458012019,0.1246614634745006,0.009315303323518294,0.9516,0.008449641015205572,0.0116,0.45317502716285435
3,4,0.25,0.75,2500,conservative,0.04299894798942975,0.0024961240311317744,0.15608294775375905,0.007247118699933385,0.944,0.03707229525823694,0.0052,0.41133832252655145
3,4,0.25,0.75,2500,naive,0.03718703604677713,0.003035455765268189,0.13697333734656317,0.01232455949107642,0.9524,0.01813838690418253,0.0152,0.4674309268680422
3,4,0.25,0.75,2500,one_per_group,0.07063790729791677,0.003563762652106593,0.23839964211050957,0.011572140013922406,0.9024,0.01540521981125599,0.0168,0.4046408819626937
3,4,0.5,0.25,2500,oracle,0.19450342970275988,0.0035722352962427205,0.570175742544138,0.008344166209304844,0.7024,0.018534878637982956,0.0032,0.19494545558112544
