regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
reversed,112,fixed,mechanism_repair,17.07128474765149,2.7844055297763965,-1.1304390147272425,0.01,0.9302571058692937,3.2908967399673132,0.693207214078196,0,0,2.7844055297763948,3,0
reversed,112,random,mechanism_repair,17.071284747651493,2.784405529776393,-1.1304390147272425,0.01,0.9302571058692937,3.290896739967313,0.693207214078196,0,0,2.7844055297763943,3,0
reversed,112,entropy,mechanism_repair,17.071284747651493,2.784405529776393,-1.1304390147272425,0.01,0.9302571058692937,3.2908967399673137,0.693207214078196,0,0,2.7844055297763943,3,0
reversed,112,myopic,mechanism_repair,18.731808646869514,1.1238816305583725,-1.1304390147272425,0.01,0.9302571058692937,13.558357715262153,0.06771264495380333,0,0,1.123881630558373,1,2
reversed,112,sequential,mechanism_repair,18.731808646869514,1.1238816305583725,-1.1304390147272425,0.01,0.9302571058692937,13.558357715262153,0.06771264495380333,0,0,1.123881630558373,1,36
reversed,113,stop,mechanism_repair,-8.068653075186178,26.995908422436564,-91.19833933880867,0.08,-9.647824319526602,6.027013366818144,0.8937673537074118,0,0,0.0,0,0
reversed,113,fixed,mechanism_repair,-12.92706065875354,31.854316006003927,-91.19833933880867,0.08,-9.647824319526602,10.182541346715691,1.5214885711042263,0,0,4.858407583567362,3,0
reversed,113,random,mechanism_repair,-12.92706065875354,31.854316006003927,-91.19833933880867,0.08,-9.647824319526602,10.182541346715691,1.5214885711042263,0,0,4.858407583567362,3,0
reversed,113,entropy,mechanism_repair,-12.92706065875354,31.854316006003927,-91.19833933880867,0.08,-9.647824319526602,10.182541346715691,1.5214885711042263,0,0,4.858407583567362,3,0
reversed,113,myopic,mechanism_repair,-9.128864871025788,28.056120218276178,-91.19833933880867,0.08,-9.647824319526602,7.9839361255017165,1.3173326596775239,0,0,1.0602117958396093,1,2
reversed,113,sequential,mechanism_repair,-9.128864871025788,28.056120218276178,-91.19833933880867,0.08,-9.647824319526602,7.9839361255017165,1.3173326596775239,0,0,1.0602117958396093,1,36
reversed,114,stop,source_repair,0.7891600479927804,12.89472194924126,-13.331441587450858,0.01,-3.984108980157728,3.21636865057985,0.6507298509871682,0,0,0.0,0,0
reversed,114,fixed,source_repair,-5.677101315435128,19.36098331266917,-13.331441587450858,0.01,-3.984108980157728,6.322884222534687,1.6438940240509783,0,0,6.4662613634279085,3,0
reversed,114,random,source_repair,-5.677101315435127,19.36098331266917,-13.331441587450858,0.01,-3.984108980157728,6.322884222534686,1.643894024050978,0,0,6.466261363427908,3,0
reversed,114,entropy,source_repair,-5.677101315435128,19.36098331266917,-13.331441587450858,0.01,-3.984108980157728,6.322884222534687,1.6438940240509783,0,0,6.4662613634279085,3,0
reversed,114,myopic,source_repair,0.117222689681589,13.566659307552452,-13.331441587450858,0.01,-3.984108980157728,10.205565876282012,1.3731400984437268,0,0,0.6719373583111914,1,2
reversed,114,sequential,source_repair,0.117222689681589,13.566659307552452,-13.331441587450858,0.01,-3.984108980157728,10.205565876282012,1.3731400984437268,0,0,0.6719373583111914,1,36
reversed,115,stop,mechanism_repair,12.218488794594254,0.0,-0.6956321458196246,0.01,0.5724472866640649,4.0795023794576135,0.5396316398746449,0,0,0.0,0,0
reversed,115,fixed,mechanism_repair,7.6373572738051525,4.581131520789102,-0.6956321458196246,0.01,0.5724472866640649,5.363877251884501,0.0332287986989203,0,0,4.581131520789102,3,0
reversed,115,random,mechanism_repair,7.6373572738051525,4.581131520789102,-0.6956321458196246,0.01,0.5724472866640649,5.3638772518844995,0.033228798698920335,0,0,4.581131520789102,3,0
reversed,115,entropy,mechanism_repair,7.6373572738051525,4.581131520789102,-0.6956321458196246,0.01,0.5724472866640649,5.363877251884501,0.0332287986989203,0,0,4.581131520789102,3,0
reversed,115,myopic,mechanism_repair,10.805537697472335,1.412951097121919,-0.6956321458196246,0.01,0.5724472866640649,9.012780249255488,0.026181819789563316,0,0,1.41295109712192,1,2
reversed,115,sequential,mechanism_repair,10.805537697472335,1.412951097121919,-0.6956321458196246,0.01,0.5724472866640649,9.012780249255488,0.026181819789563316,0,0,1.41295109712192,1,36
reversed,116,stop,source_repair,0.7390729232170269,12.076308056060745,-12.485309576675993,0.01,-3.7312419424548944,4.369245785891845,0.5011622070619117,0,0,0.0,0,0
reversed,116,fixed,source_repair,-4.378229655222041,17.193610634499812,-12.485309576675993,0.01,-3.7312419424548944,3.38752575437379,1.5914276990599183,0,0,5.117302578439068,3,0
reversed,116,random,source_repair,-4.378229655222041,17.193610634499812,-12.485309576675993,0.01,-3.7312419424548944,3.3875257543737884,1.5914276990599183,0,0,5.117302578439068,3,0
reversed,116,entropy,source_repair,-4.378229655222041,17.193610634499812,-12.485309576675993,0.01,-3.7312419424548944,3.38752575437379,1.5914276990599183,0,0,5.117302578439068,3,0
reversed,116,myopic,source_repair,0.02355204623512186,12.79182893304265,-12.485309576675993,0.01,-3.7312419424548944,11.29924519819097,1.5691589250880953,0,0,0.715520876981905,1,2
reversed,116,sequential,source_repair,0.02355204623512186,12.79182893304265,-12.485309576675993,0.01,-3.7312419424548944,11.29924519819097,1.5691589250880953,0,0,0.715520876981905,1,36
reversed,117,stop,mechanism_repair,-0.17263105016872948,15.03138071770368,-15.308006376407787,0.01,-5.3557223395720195,4.598044741267516,0.3803024074818391,0,0,0.0,0,0
reversed,117,fixed,mechanism_repair,-4.495459516171678,19.35420918370663,-15.308006376407787,0.01,-5.3557223395720195,8.507897822411767,1.6363967678736404,0,0,4.322828466002949,3,0
reversed,117,random,mechanism_repair,-4.495459516171678,19.35420918370663,-15.308006376407787,0.01,-5.3557223395720195,8.507897822411767,1.6363967678736404,0,0,4.322828466002949,3,0
reversed,117,entropy,mechanism_repair,-4.495459516171678,19.35420918370663,-15.308006376407787,0.01,-5.3557223395720195,8.507897822411767,1.6363967678736404,0,0,4.322828466002949,3,0
reversed,117,myopic,mechanism_repair,-0.7457798639137668,15.604529531448717,-15.308006376407787,0.01,-5.3557223395720195,12.755205769780405,1.313336700640227,0,0,0.5731488137450373,1,2
reversed,117,sequential,mechanism_repair,-0.7457798639137668,15.604529531448717,-15.308006376407787,0.01,-5.3557223395720195,12.755205769780405,1.313336700640227,0,0,0.5731488137450373,1,36
